,id,contents,length,prompts,language
0,61193,"Saladin isch de Gschlächtsname vo dëne Lüüt: Barbara Saladin (* 1976), Schwyzer Autoorin und Schurnalischtin Guntram Saladin (1887–1958), Schwyzer Läxikograaf und Oortsnameforscher Lorenz Saladin (1896–1936), Schwyzer Expedizioonsbëërgstyger und Fotograaf Lueg au: Saladin (≈1137–1193), kurdische Fäldhërr und Sultaan",317,"Translate the following German dialect text into standard German: 'Saladin isch de Gschlächtsname vo dëne Lüüt: Barbara Saladin (* 1976), Schwyzer Autoorin und Schurnalischtin Guntram Saladin (1887–1958), Schwyzer Läxikograaf und Oortsnameforscher Lorenz Saladin (1896–1936), Schwyzer Expedizioonsbëërgstyger und Fotograaf Lueg au: Saladin (≈1137–1193), kurdische Fäldhërr und Sultaan'. Only answer with the standard German version:",als
1,8680,S' Mare Moscoviense (Lat. „Moskauer Meer“) isch s'einzig Mondmeer uf dr Rucksite vum Mo. Es isch ganz offesichtlich e mit Lava ufgfüllte Ischlagskrater mit em Zentrum bi 27° 18' Nord un 147° 54' Ost. Dr middler Durmesser isch 277 km. Grossi Krater sin Komarov im Südoste un Titov im Norde. Lueg au d'Liste vu dr Erdmogwässer. http://planetarynames.wr.usgs.gov (Engl.),367,Translate the following German dialect text into standard German: 'S' Mare Moscoviense (Lat. „Moskauer Meer“) isch s'einzig Mondmeer uf dr Rucksite vum Mo. Es isch ganz offesichtlich e mit Lava ufgfüllte Ischlagskrater mit em Zentrum bi 27° 18' Nord un 147° 54' Ost. Dr middler Durmesser isch 277 km. Grossi Krater sin Komarov im Südoste un Titov im Norde. Lueg au d'Liste vu dr Erdmogwässer. http://planetarynames.wr.usgs.gov (Engl.)'. Only answer with the standard German version:,als
2,25319,"p1 p3 D Burg Hammerstei isch e abgangeni Burg bi Wullbach, eme Ortsdeil vu dr Gmei Chander im Landchreis Lörrach z Bade-Wirttebärg. Die Burg isch e Währaalag gsi zum Schutz vum Wullbacher Hammerwärch. Vu dr ehmolige Burgaalag sin no gringi Muurräscht erhalte. Horst Wolfgang Böhme: Burgen der Salierzeit Teil 1 und 2, Sigmaringen 1991. D Burg Hammerstei uf burgeninventar.de",374,"Translate the following German dialect text into standard German: 'p1 p3 D Burg Hammerstei isch e abgangeni Burg bi Wullbach, eme Ortsdeil vu dr Gmei Chander im Landchreis Lörrach z Bade-Wirttebärg. Die Burg isch e Währaalag gsi zum Schutz vum Wullbacher Hammerwärch. Vu dr ehmolige Burgaalag sin no gringi Muurräscht erhalte. Horst Wolfgang Böhme: Burgen der Salierzeit Teil 1 und 2, Sigmaringen 1991. D Burg Hammerstei uf burgeninventar.de'. Only answer with the standard German version:",als
3,48394,"Krummenau isch de Name vo folgende Ort: Krummenau (Hunsrück), e Gmaind im Landchrais Birkefeld i Rhyland-Pfalz, Dütschland Krummenau (Neustadt), en Ortstail vo de Gmaind Neustadt (Wied) im Landkreis Neuwied, Rhyland-Pfalz, Dütschland Krummenau SG, en Ortschaft i de Gmaind Nesslau und ehemolegi Gmaind im Kanton Sanggalle, Schwiz Krummenau isch de Name vo folgende Flüüssgwässer: Krummenau (Lister), en Zuefluss vo de Lister im Märkische Chrais i Nordrhy-Westfale, Dütschland",475,"Translate the following German dialect text into standard German: 'Krummenau isch de Name vo folgende Ort: Krummenau (Hunsrück), e Gmaind im Landchrais Birkefeld i Rhyland-Pfalz, Dütschland Krummenau (Neustadt), en Ortstail vo de Gmaind Neustadt (Wied) im Landkreis Neuwied, Rhyland-Pfalz, Dütschland Krummenau SG, en Ortschaft i de Gmaind Nesslau und ehemolegi Gmaind im Kanton Sanggalle, Schwiz Krummenau isch de Name vo folgende Flüüssgwässer: Krummenau (Lister), en Zuefluss vo de Lister im Märkische Chrais i Nordrhy-Westfale, Dütschland'. Only answer with the standard German version:",als
4,26813,"Wil isch de Name vo merere Dörfer oder Stedt: Wil SG im Kanton Sangallä Wil ZH im Kanton Züri Wil AG, es Dorf i dr Gmeind Mettauertal im Kanton Aargau Wil, en Ortsdeil vo Auchischtoorf im Kanton Bärn -wil isch e Endig vo villne Ortschaftsnäme i dr Düütschschwiiz zum Bispiil Bäretswil, Saafewil, Theerwil, Auterschwiu, Dalleweyl",328,"Translate the following German dialect text into standard German: 'Wil isch de Name vo merere Dörfer oder Stedt: Wil SG im Kanton Sangallä Wil ZH im Kanton Züri Wil AG, es Dorf i dr Gmeind Mettauertal im Kanton Aargau Wil, en Ortsdeil vo Auchischtoorf im Kanton Bärn -wil isch e Endig vo villne Ortschaftsnäme i dr Düütschschwiiz zum Bispiil Bäretswil, Saafewil, Theerwil, Auterschwiu, Dalleweyl'. Only answer with the standard German version:",als
5,26384,"p1 D Ryburg, au Rihburg oder Iburg gnännt isch e Burgruine bi Buech, eme Ortsdeil vu dr Gmei Albbruck am Hochryy im Landchreis Waldshuet z Bade-Wirttebärg. D Burg lyt bim Buecher Wyyler Steibach. D Ryburg isch aafangs 13. Johrhundert dur di Edle von Steinbach böue loo wore. Si isch anne 1272 gschlisse un derno nimi wider ufböue wore. Vu dr Burgaalag sin hite nume no gringi Räscht erhalte. Burge im Landchreis Waldshuet uf burgeninventar.de",442,"Translate the following German dialect text into standard German: 'p1 D Ryburg, au Rihburg oder Iburg gnännt isch e Burgruine bi Buech, eme Ortsdeil vu dr Gmei Albbruck am Hochryy im Landchreis Waldshuet z Bade-Wirttebärg. D Burg lyt bim Buecher Wyyler Steibach. D Ryburg isch aafangs 13. Johrhundert dur di Edle von Steinbach böue loo wore. Si isch anne 1272 gschlisse un derno nimi wider ufböue wore. Vu dr Burgaalag sin hite nume no gringi Räscht erhalte. Burge im Landchreis Waldshuet uf burgeninventar.de'. Only answer with the standard German version:",als
6,27785,"S 62. Critérium du Dauphiné isch e Veloetapperenne gsi, wo vom 6. bis 13. Juni 2010 stattgfunde het. Es het us eme Prolog und siiben Etappe bestande. S Critérium du Dauphiné isch e ProTour-Renne, und alli 18 ProTour-Mannschafte mache mit. Drzue si 4 Mannschafte vo dr Continentale Pro iiglade worde: BBox Bouygues Telecom, Cofidis, Saur-Sojasun und Cervélo TestTeam.",366,"Translate the following German dialect text into standard German: 'S 62. Critérium du Dauphiné isch e Veloetapperenne gsi, wo vom 6. bis 13. Juni 2010 stattgfunde het. Es het us eme Prolog und siiben Etappe bestande. S Critérium du Dauphiné isch e ProTour-Renne, und alli 18 ProTour-Mannschafte mache mit. Drzue si 4 Mannschafte vo dr Continentale Pro iiglade worde: BBox Bouygues Telecom, Cofidis, Saur-Sojasun und Cervélo TestTeam.'. Only answer with the standard German version:",als
7,89207,"Doo fìndsch a Lischta vu da Schtarna, womm’r mìt’m bloossa-n-Àuiga känna sah. ’S ìsch aifàch a Lischta vun àlla sìchtbààra Fixschtarna, àlso vun àlla Schtarna üsser dr Sunna. Àls Granzhällikait fìr d’ Sìchbààrkait mìt’m bloossa-n-Àuiga bii optimààla Bedìngunga gìlt d’rbii 6,5 mag. Àlla Koordinààta ìn dara Lischta beziaga sìch uff d’ Epocha J2000. Düü kààsch àui d’ wittera Lischta vu Schtarna lüaga. HR .... = Bright-Star-Katalog HD ..... = Henry-Draper-Katalog",463,"Translate the following German dialect text into standard German: 'Doo fìndsch a Lischta vu da Schtarna, womm’r mìt’m bloossa-n-Àuiga känna sah. ’S ìsch aifàch a Lischta vun àlla sìchtbààra Fixschtarna, àlso vun àlla Schtarna üsser dr Sunna. Àls Granzhällikait fìr d’ Sìchbààrkait mìt’m bloossa-n-Àuiga bii optimààla Bedìngunga gìlt d’rbii 6,5 mag. Àlla Koordinààta ìn dara Lischta beziaga sìch uff d’ Epocha J2000. Düü kààsch àui d’ wittera Lischta vu Schtarna lüaga. HR .... = Bright-Star-Katalog HD ..... = Henry-Draper-Katalog'. Only answer with the standard German version:",als
8,43385,The Dude cha si die franzöösischi Rockbänd The Dude e Film vom Jeff Feuerzeig us em Joor 2011 e Figuur im Film The Big Lebowski us em Joor 1998 e Figuur im Film Rio Bravo us em Joor 1959 en Album vom Quincy Jones us em Joor 1981 en Album vom Devin the Rapper us em Joor 1998 e Netzwärkmonitorbrogramm vo MikroTik,312,Translate the following German dialect text into standard German: 'The Dude cha si die franzöösischi Rockbänd The Dude e Film vom Jeff Feuerzeig us em Joor 2011 e Figuur im Film The Big Lebowski us em Joor 1998 e Figuur im Film Rio Bravo us em Joor 1959 en Album vom Quincy Jones us em Joor 1981 en Album vom Devin the Rapper us em Joor 1998 e Netzwärkmonitorbrogramm vo MikroTik'. Only answer with the standard German version:,als
9,50213,"Need Your Loving Tonight isch e Lied vu dr britische Rockbrand Queen. S isch vom Bassischt John Deacon gschribe worde. S Lied isch s viert Stuck uf em Album The Game. Freddie Mercury - Gsang Brian May - Gitarre, Gsang John Deacon - Bass, akustischi Gitarre Roger Taylor - Schlagzyyg, Gsang Need Your Loving Tonight uf queenonline.com, dr offiziälle Websyte vu dr Band 0V Queen John Deacon • Brian May • Freddie Mercury • Roger Taylor * Auszeichnungen für Musikverkäufe • Lieder",477,"Translate the following German dialect text into standard German: 'Need Your Loving Tonight isch e Lied vu dr britische Rockbrand Queen. S isch vom Bassischt John Deacon gschribe worde. S Lied isch s viert Stuck uf em Album The Game. Freddie Mercury - Gsang Brian May - Gitarre, Gsang John Deacon - Bass, akustischi Gitarre Roger Taylor - Schlagzyyg, Gsang Need Your Loving Tonight uf queenonline.com, dr offiziälle Websyte vu dr Band 0V Queen John Deacon • Brian May • Freddie Mercury • Roger Taylor * Auszeichnungen für Musikverkäufe • Lieder'. Only answer with the standard German version:",als
